Time,Temperature,Frequency,Magnitude
0,25.00,0.00,0.00
1000,25.00,0.02,0.28
2000,25.00,0.03,0.24
3001,25.00,0.05,0.14
4001,25.00,0.07,0.09
5002,25.00,0.08,0.05
6002,25.00,0.10,0.03
7003,25.00,0.12,0.01
8003,25.01,0.13,0.03
9004,25.01,0.15,0.02
10004,25.02,0.17,0.02
11004,25.02,0.18,0.02
12005,25.02,0.20,0.03
13005,25.03,0.22,0.02
14006,25.03,0.23,0.02
15006,25.03,0.25,0.02
16007,25.03,0.27,0.02
17007,25.03,0.28,0.01
18008,25.03,0.30,0.01
19008,25.03,0.32,0.01
20008,25.03,0.33,0.02
21009,25.03,0.35,0.01
22009,25.03,0.37,0.01
23010,25.03,0.38,0.01
24010,25.03,0.40,0.01
25011,25.03,0.42,0.01
26011,25.03,0.43,0.01
27012,25.03,0.45,0.01
28012,25.03,0.47,0.01
29012,25.03,0.48,0.01
30013,25.03,0.50,0.01
31013,25.02,0.52,0.01
32014,25.02,0.53,0.01
33014,25.02,0.55,0.01
34015,25.02,0.57,0.01
35015,25.02,0.58,0.01
36015,25.02,0.60,0.01
37015,25.02,0.62,0.01
38016,25.02,0.63,0.01
39016,25.01,0.65,0.02
40016,25.01,0.67,0.02
41017,25.01,0.68,0.01
42017,25.01,0.70,0.01
43018,25.02,0.72,0.01
44018,25.02,0.73,0.02
45019,25.02,0.75,0.02
46019,25.02,0.77,0.02
47020,25.02,0.78,0.02
48020,25.02,0.80,0.03
49020,25.02,0.82,0.02
50021,25.02,0.83,0.02
51021,25.02,0.85,0.02
52022,25.02,0.87,0.03
53022,25.02,0.88,0.01
54023,25.02,0.90,0.03
55023,25.02,0.92,0.05
56024,25.02,0.93,0.09
57024,25.02,0.95,0.14
58024,25.02,0.97,0.24
59025,25.02,0.98,0.28
